,target_corr
X752,0.09056130207858051
X759,0.06405742787838559
X614,0.05452774906912943
X367,0.03770371528802054
X766,0.02722503568923275
X498,0.019579529973892354
X624,0.01731115155385936
X770,-0.016624927795191147
X545,0.015595909941691835
X546,0.014846274542446818
X549,0.013887169787729668
X602,0.012631107294446473
X604,-0.009352695909168497
X547,-0.008859581246357266
X365,-0.008200472567147234
X519,0.0059604412368144235
X603,0.004352293669749675
X120,0.002694623198875231
X772,-0.0018834063032989758
X777,0.0003555529530122257
